"sample_size","Hypothesis","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","logmean","logsd"
8,"Additive Model",0.370554710485905,0.168470747455896,-0.502919701390884,-0.22456722497845,1.90205856899405,2.89563089850988,0.805028786673429,2.33488241069551,-0.200084981977344,-0.341854819300743,-0.645923476607681,0.883881586831766,0.552649279469173,-0.746849715273757,0.361482197888222,-1.0959968048762,-0.0170964300583176,1.81711062014057,-0.749991782196717,-0.419154407174865,-0.626930131219326,0.943885066764341,1.1580339112133,1.95574334808212,4.14361318088729,1.31211584494712,-0.202799197220772,-0.698155884607689,0.223796756072669,-0.786807451907234,4.27151162739777,-0.465417772815662,0.885935036724968,-0.596802879633611,-0.772815063618499,0.439243810369679,0.121755376768436,-0.601186654896175,-0.759747852574344,1.19224887764202,1.95156039444403,-0.747311586716385,-0.600059203656219,0.694931760761056,0.654413189880989,-0.839418021351449,0.239415589892385,1.15047640193499,-0.784955695742132,-0.814730270399098,-0.667283162071875,-0.609764592344547,4.50376694392141,0.744743951000967,4.97907267129316,-0.344970370680575,-0.706550425511099,-0.780087642536646,-0.10530140764372,-0.37019664456128,1.65281747867487,0.629252409939031,-0.674393262247548,0.854483234840823,1.95049806059155,0.280740688486172,0.60411056472494,-0.702503146975614,-0.772778646710338,-0.417425473816588,-0.729685004163177,1.57680392708003,2.47129418837146,1.87918932983844,-0.693245646899623,0.733952568531955,0.631143103033427,0.533584045772851,-0.741761581021631,-0.564851458060297,4.19030957209564,-0.403370822138044,-0.713336168490154,0.349145044175612,1.15940960425496,0.793809376190882,-0.11038541670477,-0.80027775768442,0.306501987812591,-0.155019562033957,1.42303723919106,2.05686531999738,-0.836759912124609,1.28534404219211,-0.467851862180835,1.39468547698958,0.08468613314293,-0.303462711253215,-0.731954122864734,0.264677904001306,0.431195610361598,1.31552932986484
15,"Additive Model",1.44679941541082,0.757992682345986,-0.662520558046596,-0.435743131230403,2.13237001864492,5.35383579610609,0.768135552030445,5.86284933132981,1.35475139350245,0.105617495411563,0.654887550549528,-0.92029751400362,0.302091290821007,-0.113644795554422,2.59685200913347,0.141638637181502,0.599860418738471,3.45843470483839,-0.493349190776706,1.13223555826268,-0.614269983643998,2.08506665725938,0.470322860694344,3.36528090574998,4.42561721316898,0.880484450776346,1.61117639221825,-0.39171945646793,-0.233377377222353,1.09982661552922,1.95684042867466,-0.535897526479127,0.593845882893218,-0.142197416965756,1.52221376277227,1.3462788900292,2.21399874492096,-0.653609373529501,-0.946128675994644,2.0913347619187,2.82239196082098,0.396872171333508,-0.874378205244643,0.69617090702859,0.456229951951414,-0.53183023624649,1.36548646992409,1.73360854124925,-0.844668349829595,-0.904191978117834,-0.764395390397005,-0.944579772249255,3.92266225843781,-0.286451990196518,2.2355053773496,-0.698049484987293,-0.379958844265609,0.99257873987966,1.08362313261488,0.360913431179203,4.03389392174303,-0.399714176691908,0.0451827058256809,0.630206042092985,1.65118806601665,1.11747344342074,1.8227171105141,-0.920817256306942,0.441321963992764,-0.951409356784712,-0.495080260455598,-0.546484451082604,2.04002572150211,2.46837892397338,-0.573761553495496,2.46854308618004,1.17686211728936,1.01558308919844,-0.935862124565443,0.584163248142322,2.67401336924256,-0.629172668921621,-0.904406413749732,0.391085010220145,2.51030219255633,2.01244914566893,-0.258394307156769,-0.782856607239025,0.964989432567488,-0.938917097209023,0.74328556714911,5.07324098065393,-0.885357111343973,2.42929061410344,0.0987479934581993,2.81898102485328,3.26651746079776,2.26727219042988,-0.952525366427755,0.720979505551805,0.893173582869462,1.56664889864437
22,"Additive Model",1.26682791305213,0.950823988130841,0.522039440058254,0.735665951245105,0.527911171191403,4.38896555607295,2.60495235832764,2.14090921008286,2.76131928015133,2.61509447236335,1.17101174206766,-0.999450533220131,0.265080493302906,0.54081956463964,3.15216375072055,1.51718760924754,1.38901649843989,4.14973907435581,1.1104175732184,2.22399538901799,0.243053984967835,3.11747455464642,3.9004716298075,1.95186781679637,5.27008898470314,2.42909140093532,2.52449971696114,1.36782813954907,1.0863893766537,0.988669424263417,1.97186844566195,-0.178608897677816,1.43996054959165,-0.181453184973248,1.59382762507876,3.3975814366655,4.39228171304248,0.509292615816532,-0.0976829293503658,2.32078364419513,3.48194540300587,0.410336698214103,-0.244910190809633,2.5864838930392,0.584410539654751,-0.355396298444654,1.27985827041144,1.65784226651492,-0.619956674500801,-0.678593097052013,-0.225677119491046,-0.84122805822816,2.09495267519478,2.2725980304802,3.37524153413871,-0.374899863883474,0.532620183178106,1.0735346867674,1.91604307161337,3.15921392869935,3.74339799462336,0.0641597183820538,1.37660582376902,1.16948016640444,3.87309082368672,0.884365438152344,1.60185761957753,-0.0969151846808731,2.72781357368263,0.0724495756917998,-0.384802187688819,0.805198188812182,2.26125251088264,0.802085173132494,-0.170264622686827,0.796565062740583,2.11182286064411,1.5187289246956,-0.879443883274233,0.648611502921006,3.8056289757262,0.178656659576181,-0.33492192318082,1.47767574159252,4.06732865602593,2.12625145844847,-0.070175995413833,1.60769364181723,1.51279571519382,-0.667645768206968,3.43532608478749,4.23747734042856,-0.638049246446116,4.48065368555369,2.38500501401493,3.42954891000038,0.765298974825844,1.11096319022922,-0.710310339871813,0.614508812173144,1.47905965095045,1.49645150925192
29,"Additive Model",2.79009775640116,2.01857038688059,3.45185882426853,0.414835778149823,0.948866473920466,4.13492425461282,4.26235106646376,3.7547167316688,2.14576583035336,2.35371242574223,1.78676757510736,0.225390041947349,0.255456788441138,1.53143315960396,3.78069991242971,2.12191980747473,4.05186448709156,3.19362695700595,2.49550682734301,3.91401885737634,0.55454581271819,4.45093418993122,4.04873782716856,2.98757013547622,5.34384779149314,2.23350368277946,2.92545259971516,2.52919586218148,3.44851377337461,1.18920889146563,2.61795904542234,0.512935629526308,1.44886560000681,0.392682788622623,1.13752482368295,4.04612495141332,3.67045505603583,3.08564732365019,1.63946492599917,2.36351520954033,3.17896697205522,1.35865188315328,0.378372645123211,0.848220011254997,1.38980341522204,1.76106297970848,2.78800167167108,2.12715997657795,-0.307714977918961,-0.258833987859047,0.831205819960956,0.0200993946948916,3.01621433955451,3.23850842088364,3.44899605037645,1.01614965090383,-0.31550900761964,1.35980623362092,1.48143596578747,2.50007107712703,5.45594052728751,0.150600434674091,1.98129319689182,1.04284388429694,5.36220675168935,0.668239112777655,1.28806448657225,3.49663565018581,4.65550237186578,2.77512803493178,0.788652778688002,0.872401879944173,1.72679440105719,1.72338935803577,0.843801821745522,1.92454408878811,3.052984885493,3.96163894262534,-0.685568520818176,2.91502999413787,5.26150151890323,0.703212091335317,0.91601880666688,1.78128705682022,3.76707057205439,3.67088506003351,2.20323499002478,0.954835417552621,2.17381164484559,1.707958219733,3.41946795707573,3.65643280819201,-0.337163772940041,3.64108185999648,1.36839466013771,5.08723464523054,1.52894551813736,1.91387199353378,0.60771123124538,2.33570840759488,2.20481363163808,1.47220829238427
36,"Additive Model",3.37197082545898,2.58052192609011,2.17120598021565,1.22125444005972,3.22720235173871,3.01912500295812,4.5172597688403,4.11629533247568,1.83652311244063,2.76100251137743,0.859812844594756,2.0926434520267,2.58825436288552,2.02227241019034,2.20899569838295,4.21484185552858,3.20610491179537,3.3423523808023,3.110334670101,3.48025429958955,1.58206939273572,4.88843268517666,4.36531850826962,3.24075530808326,3.81170648834729,3.61076877496734,2.44167856559338,4.53506750100811,4.71628554184035,3.06103674616672,1.40392583952015,1.37832966880834,2.58714001808407,0.962103439937653,2.61160082599398,5.00585540389444,4.73432990840575,3.06599201519071,2.89866999170715,1.95788487840707,2.82180953154501,1.94263595027714,2.47410459843951,2.25822947709485,2.03617918916628,2.19168445174895,2.96699457748165,1.94706966365146,2.97893135790007,2.30326633665293,1.98156091622292,2.4360556106323,3.45498484896504,3.13323274880536,5.15651155516307,2.42058026860077,1.52263189681681,1.53702319597697,3.41737262284585,4.12016397779102,3.36092501801147,1.39681462415184,2.15585970581512,3.63872467160712,4.99723693456966,2.23003123437589,2.03127833672636,3.1520230966411,3.62181008018859,3.45277510643724,2.85867182984684,1.38174944625562,1.27330845168295,3.96062606332632,2.61613684372252,2.53133706874814,4.51055435768389,2.96910379744721,0.416724514106669,1.22512556557714,3.84682098849482,2.6369829976188,2.05825366063903,1.34324287287423,2.37032172717278,3.6090346836349,3.03291970468196,1.51592944001369,2.52593638803276,1.84023892367581,4.03269586840196,4.07374859843801,2.87842174297875,4.45633843867011,3.38042931729796,4.15046256010858,2.92463413872771,2.56286756983528,3.14289389202394,1.33879957959069,2.83409992255302,1.06199374863314
43,"Additive Model",3.75655958775375,3.7433669359077,3.74841248584733,3.75501569912426,3.76455635172861,3.79047918091737,3.76207385436783,3.68174837791208,3.76313715744405,3.72211142279966,3.76402365285194,3.79060028126762,3.77024726869915,3.75410775984088,3.74900160318157,3.75893650982061,3.74514744230332,3.74908758858215,3.76452992878138,3.75787799300576,3.79335436824652,3.73463682390838,3.8123744573823,3.70442513112358,3.76957310105045,3.76225071932836,3.77735433238007,3.76747211315977,3.678011615601,3.72723997654668,3.84161040142253,3.75943460365135,3.76680045689592,3.80390119306224,3.78838102978265,3.77451514406896,3.73286237575727,3.75326731373707,3.84165223030236,3.73433359153047,3.93494208973422,3.73023474254233,3.7804741579917,3.76917380564947,3.79572381081751,3.76632343303631,3.74449147242294,3.77179471147298,3.7533595367926,3.75650810490728,3.74907487706139,3.78228410179983,3.79442462502094,3.75898369895011,3.7859593599827,3.58536537037498,3.73393013458181,3.73742761574791,3.78229941856892,3.73962495257816,3.77600968900579,3.74665253182683,3.73710388306128,3.8025960552472,3.77639750476572,3.76810440510169,3.75274269246872,3.73811476036918,3.74065419915479,3.74753095706314,3.75669056661069,3.70037642348685,3.74705146553871,3.76486598896386,3.8063939060311,3.75907485431246,3.74650396013875,3.76972072875164,3.75344146890449,3.77942630436402,3.76741197822014,3.73344405719474,3.7356521262498,3.73995395158366,3.74370779787215,3.74493598717775,3.66180690552382,3.80367374501868,3.75770751426746,3.75284774975739,3.76571259142953,3.73446353948226,3.77630709756233,3.75882895587434,3.74342513283786,3.73255217519856,3.75702098626448,3.77448148548735,3.74255446715909,3.75111364381697,3.75813926314254,0.0375822365599204
8,"CL Model",-0.370554710485905,-0.168470747455896,0.502919701390884,0.22456722497845,-1.90205856899405,-2.89563089850988,-0.805028786673429,-2.33488241069551,0.200084981977344,0.341854819300743,0.645923476607681,-0.883881586831765,-0.552649279469173,0.746849715273757,-0.361482197888222,1.0959968048762,0.0170964300583177,-1.81711062014057,0.749991782196717,0.419154407174865,0.626930131219326,-0.943885066764341,-1.1580339112133,-1.95574334808212,-4.14361318088729,-1.31211584494712,0.202799197220772,0.698155884607689,-0.223796756072669,0.786807451907234,-4.27151162739777,0.465417772815662,-0.885935036724968,0.596802879633611,0.772815063618499,-0.439243810369679,-0.121755376768436,0.601186654896175,0.759747852574344,-1.19224887764202,-1.95156039444403,0.747311586716385,0.600059203656219,-0.694931760761056,-0.654413189880989,0.839418021351449,-0.239415589892385,-1.15047640193499,0.784955695742132,0.814730270399098,0.667283162071875,0.609764592344547,-4.50376694392141,-0.744743951000967,-4.97907267129316,0.344970370680575,0.706550425511099,0.780087642536646,0.10530140764372,0.37019664456128,-1.65281747867487,-0.629252409939031,0.674393262247548,-0.854483234840823,-1.95049806059155,-0.280740688486172,-0.60411056472494,0.702503146975615,0.772778646710338,0.417425473816588,0.729685004163177,-1.57680392708003,-2.47129418837146,-1.87918932983844,0.693245646899623,-0.733952568531955,-0.631143103033427,-0.533584045772851,0.741761581021631,0.564851458060297,-4.19030957209564,0.403370822138044,0.713336168490154,-0.349145044175612,-1.15940960425496,-0.793809376190882,0.11038541670477,0.80027775768442,-0.306501987812591,0.155019562033957,-1.42303723919106,-2.05686531999738,0.836759912124609,-1.28534404219211,0.467851862180835,-1.39468547698958,-0.08468613314293,0.303462711253215,0.731954122864734,-0.264677904001306,-0.431195610361598,1.31552932986484
15,"CL Model",-1.44679941541082,-0.757992682345986,0.662520558046596,0.435743131230403,-2.13237001864492,-5.35383579610609,-0.768135552030445,-5.86284933132981,-1.35475139350245,-0.105617495411563,-0.654887550549528,0.92029751400362,-0.302091290821007,0.113644795554422,-2.59685200913347,-0.141638637181502,-0.599860418738471,-3.45843470483839,0.493349190776706,-1.13223555826268,0.614269983643998,-2.08506665725938,-0.470322860694344,-3.36528090574998,-4.42561721316898,-0.880484450776346,-1.61117639221825,0.39171945646793,0.233377377222353,-1.09982661552922,-1.95684042867466,0.535897526479127,-0.593845882893218,0.142197416965756,-1.52221376277227,-1.3462788900292,-2.21399874492096,0.653609373529501,0.946128675994644,-2.0913347619187,-2.82239196082098,-0.396872171333508,0.874378205244643,-0.69617090702859,-0.456229951951414,0.53183023624649,-1.36548646992409,-1.73360854124925,0.844668349829595,0.904191978117834,0.764395390397005,0.944579772249255,-3.92266225843781,0.286451990196518,-2.2355053773496,0.698049484987293,0.379958844265609,-0.99257873987966,-1.08362313261488,-0.360913431179203,-4.03389392174303,0.399714176691908,-0.0451827058256808,-0.630206042092985,-1.65118806601665,-1.11747344342074,-1.8227171105141,0.920817256306942,-0.441321963992764,0.951409356784712,0.495080260455598,0.546484451082604,-2.04002572150211,-2.46837892397338,0.573761553495495,-2.46854308618004,-1.17686211728936,-1.01558308919844,0.935862124565443,-0.584163248142322,-2.67401336924256,0.629172668921621,0.904406413749732,-0.391085010220145,-2.51030219255633,-2.01244914566893,0.258394307156769,0.782856607239025,-0.964989432567488,0.938917097209023,-0.74328556714911,-5.07324098065393,0.885357111343973,-2.42929061410344,-0.0987479934581993,-2.81898102485328,-3.26651746079776,-2.26727219042988,0.952525366427755,-0.720979505551805,-0.893173582869462,1.56664889864437
22,"CL Model",-1.26682791305213,-0.950823988130841,-0.522039440058254,-0.735665951245105,-0.527911171191403,-4.38896555607295,-2.60495235832764,-2.14090921008286,-2.76131928015133,-2.61509447236335,-1.17101174206766,0.999450533220131,-0.265080493302906,-0.54081956463964,-3.15216375072055,-1.51718760924754,-1.38901649843989,-4.14973907435581,-1.1104175732184,-2.22399538901799,-0.243053984967835,-3.11747455464642,-3.9004716298075,-1.95186781679637,-5.27008898470314,-2.42909140093532,-2.52449971696114,-1.36782813954907,-1.0863893766537,-0.988669424263417,-1.97186844566195,0.178608897677816,-1.43996054959165,0.181453184973248,-1.59382762507876,-3.3975814366655,-4.39228171304248,-0.509292615816532,0.0976829293503657,-2.32078364419513,-3.48194540300587,-0.410336698214103,0.244910190809633,-2.5864838930392,-0.584410539654751,0.355396298444654,-1.27985827041144,-1.65784226651492,0.619956674500801,0.678593097052013,0.225677119491046,0.84122805822816,-2.09495267519478,-2.2725980304802,-3.37524153413871,0.374899863883474,-0.532620183178106,-1.0735346867674,-1.91604307161337,-3.15921392869935,-3.74339799462336,-0.0641597183820538,-1.37660582376902,-1.16948016640444,-3.87309082368672,-0.884365438152344,-1.60185761957753,0.0969151846808731,-2.72781357368263,-0.0724495756917998,0.384802187688818,-0.805198188812182,-2.26125251088264,-0.802085173132494,0.170264622686827,-0.796565062740583,-2.11182286064411,-1.5187289246956,0.879443883274233,-0.648611502921006,-3.8056289757262,-0.17865665957618,0.33492192318082,-1.47767574159252,-4.06732865602593,-2.12625145844847,0.070175995413833,-1.60769364181723,-1.51279571519382,0.667645768206968,-3.43532608478749,-4.23747734042856,0.638049246446116,-4.48065368555369,-2.38500501401493,-3.42954891000038,-0.765298974825844,-1.11096319022922,0.710310339871813,-0.614508812173144,-1.47905965095045,1.49645150925192
29,"CL Model",-2.79009775640116,-2.01857038688059,-3.45185882426853,-0.414835778149823,-0.948866473920466,-4.13492425461282,-4.26235106646376,-3.7547167316688,-2.14576583035336,-2.35371242574223,-1.78676757510736,-0.225390041947349,-0.255456788441138,-1.53143315960396,-3.78069991242971,-2.12191980747473,-4.05186448709156,-3.19362695700595,-2.49550682734301,-3.91401885737634,-0.55454581271819,-4.45093418993122,-4.04873782716856,-2.98757013547622,-5.34384779149314,-2.23350368277946,-2.92545259971516,-2.52919586218148,-3.44851377337461,-1.18920889146563,-2.61795904542234,-0.512935629526309,-1.44886560000681,-0.392682788622623,-1.13752482368295,-4.04612495141332,-3.67045505603583,-3.08564732365019,-1.63946492599917,-2.36351520954033,-3.17896697205522,-1.35865188315328,-0.378372645123211,-0.848220011254997,-1.38980341522204,-1.76106297970848,-2.78800167167108,-2.12715997657795,0.307714977918961,0.258833987859047,-0.831205819960956,-0.0200993946948916,-3.01621433955451,-3.23850842088364,-3.44899605037645,-1.01614965090383,0.31550900761964,-1.35980623362092,-1.48143596578747,-2.50007107712703,-5.45594052728751,-0.150600434674091,-1.98129319689182,-1.04284388429694,-5.36220675168935,-0.668239112777655,-1.28806448657225,-3.49663565018581,-4.65550237186578,-2.77512803493178,-0.788652778688002,-0.872401879944173,-1.72679440105719,-1.72338935803577,-0.843801821745522,-1.92454408878811,-3.052984885493,-3.96163894262534,0.685568520818176,-2.91502999413787,-5.26150151890323,-0.703212091335317,-0.91601880666688,-1.78128705682022,-3.76707057205439,-3.67088506003351,-2.20323499002478,-0.954835417552621,-2.17381164484559,-1.707958219733,-3.41946795707573,-3.65643280819201,0.337163772940041,-3.64108185999648,-1.36839466013771,-5.08723464523054,-1.52894551813736,-1.91387199353378,-0.607711231245381,-2.33570840759488,-2.20481363163808,1.47220829238427
