StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q13,Q1,Q3,Q4,Q5,Q6,Q7,Q9,Q8,Q10,Q11,Q12,Q12
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Please provide your ID by pressing [Strg] + [v] in the text field below.
ID:",Please specify your age in years.,Please specify your sex.,Please specify your gender.,Please specify your study programme(s) (e.g. Bachelor Psychology).,Are you taking any medication at the moment?,"Could you provide the brand name(s) or the active ingredient (""Wirkstoff"") of the medication?",Have you consumed any of the following things 1 hour before the study?,Have you consumed any alcohol or drugs yesterday?,How well did you sleep last night?,Did you know any of the evaluators?,"How often have you encountered the n-back or similar working memory tasks (e.g., dual n-back) in the past?",How clear were the English questionnaires to you?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}"
2023-12-13 10:03:20,2023-12-13 10:04:49,0,100,88,1,2023-12-13 10:04:50,R_3DiKIMiBFcE5upC,anonymous,EN,855301,20,2,2,Bachelor Psychology,1,,4,2,2,1,1,4
2023-12-13 13:04:03,2023-12-13 13:05:18,0,100,75,1,2023-12-13 13:05:19,R_22Y18JjJ2WvI8g4,anonymous,EN,247411,21,2,2,Bachelor Psychology,1,,4,2,2,1,1,5
2023-12-14 09:51:35,2023-12-14 09:52:27,0,100,52,1,2023-12-14 09:52:28,R_6IYHQdrDX9NFZ9W,anonymous,EN,465058,26,2,2,Bachelor Psychology,1,,1,2,2,1,1,5
2023-12-14 12:46:44,2023-12-14 12:47:58,0,100,73,1,2023-12-14 12:47:59,R_3IoorE9QZG2aRx5,anonymous,EN,995402,22,1,1,Bachelor Psychology,1,,4,1,3,1,1,5
2023-12-14 15:51:34,2023-12-14 15:53:13,0,100,98,1,2023-12-14 15:53:14,R_2BDtGsC49dnhljb,anonymous,EN,993902,20,1,1,Bachelor Psychology,2,Antihistamin / Desloratadin,4,2,3,1,2,5
2023-12-14 17:28:10,2023-12-14 17:29:22,0,100,71,1,2023-12-14 17:29:22,R_8RNs8Pi7Kc48WJP,anonymous,EN,819642,23,2,2,Master Psychology,1,,4,2,4,1,1,5
2023-12-18 09:50:34,2023-12-18 09:51:44,0,100,69,1,2023-12-18 09:51:44,R_2uUUqqJJTSCpQDD,anonymous,EN,792672,21,2,2,Bachelor Psychology,1,,4,2,4,1,2,5
2023-12-18 11:25:29,2023-12-18 11:26:41,0,100,71,1,2023-12-18 11:26:42,R_7fjWJqi7AOGPasZ,anonymous,EN,121650,20,2,2,Bachelor Psychology,1,,4,2,2,1,1,5
2023-12-18 12:52:36,2023-12-18 12:53:38,0,100,61,1,2023-12-18 12:53:38,R_1ImMcBSdSCPqCdz,anonymous,EN,380897,21,2,2,Bachelor Psychologie,1,,4,2,4,1,1,5
2023-12-18 17:25:37,2023-12-18 17:26:39,0,100,62,1,2023-12-18 17:26:40,R_6HBImq8xWtCAJgV,anonymous,EN,588210,32,1,1,Master Psychology,1,,4,2,2,1,1,4
2023-12-20 09:56:16,2023-12-20 09:57:23,0,100,67,1,2023-12-20 09:57:24,R_68XaXQi5CxNQZpL,anonymous,EN,977604,20,2,2,Bachlelor Psychology,1,,4,2,4,1,1,5
2023-12-20 12:53:39,2023-12-20 12:54:51,0,100,72,1,2023-12-20 12:54:52,R_89GvcA3OFpjCokF,anonymous,EN,93756,22,1,1,bachelor Psychology,1,,4,1,4,1,1,5
2023-12-20 15:55:21,2023-12-20 15:56:44,0,100,83,1,2023-12-20 15:56:45,R_12Qcz4W8AJrMJ3B,anonymous,EN,069369,23,1,1,Master Psychology,1,,4,1,2,1,1,5
2023-12-20 17:19:40,2023-12-20 17:20:35,0,100,54,1,2023-12-20 17:20:35,R_8C11xXbzFw4aZk5,anonymous,EN,234510,20,2,2,Bachelor Psychology,1,,2,2,4,1,1,4
2023-12-21 12:56:01,2023-12-21 12:57:22,0,100,80,1,2023-12-21 12:57:23,R_27RN9t39Wtt129z,anonymous,EN,425829,24,2,2,Masters Psychology,2,Pille (Midane),4,2,4,1,1,5
2023-12-21 15:47:52,2023-12-21 15:48:43,0,100,50,1,2023-12-21 15:48:44,R_2qVvzfHmyjeH0HW,anonymous,EN,765713,28,1,1,Master Psychology,1,,4,1,4,1,1,5
2024-01-11 15:39:30,2024-01-11 15:40:33,0,100,63,1,2024-01-11 15:40:34,R_4JymDA24lLSqGop,anonymous,EN,179038,19,2,2,Bachelor Psychology,1,,4,2,3,1,1,5
2024-01-15 10:22:53,2024-01-15 10:24:20,0,100,86,1,2024-01-15 10:24:20,R_31aV18uxKj07P4s,anonymous,EN,095172,20,2,2,Bachelor Psychology,1,,4,2,2,1,1,5
