"ID","Target","Errors","cER","oER","RT_Raw","session","Trial"
"007410","1",1,1,0,0.668,"s1n2b2",3
"007410","0",0,0,0,1.281,"s1n2b2",4
"007410","1",0,0,0,0.787,"s1n2b2",5
"007410","0",0,0,0,0.566,"s1n2b2",6
"007410","0",0,0,0,0.554,"s1n2b2",7
"007410","0",0,0,0,0.766,"s1n2b2",8
"007410","1",1,1,0,0.993,"s1n2b2",9
"007410","0",0,0,0,1.158,"s1n2b2",10
"007410","0",1,1,0,0.968,"s1n2b2",11
"007410","1",1,1,0,0.652,"s1n2b2",12
"007410","0",0,0,0,1.039,"s1n2b2",13
"007410","0",0,0,0,1.188,"s1n2b2",14
"007410","0",0,0,0,1.591,"s1n2b2",15
"007410","1",0,0,0,1.355,"s1n2b2",16
"007410","0",0,0,0,1.214,"s1n2b2",17
"007410","1",0,0,0,1.3,"s1n2b2",18
"007410","1",0,0,0,1.114,"s1n2b2",19
"007410","0",0,0,0,0.766,"s1n2b2",20
"007410","1",0,0,0,0.866,"s1n2b2",21
"007410","0",0,0,0,1.414,"s1n2b2",22
"007410","0",0,0,0,0.955,"s1n2b2",23
"007410","1",0,0,0,0.767,"s1n3b2",3
"007410","0",0,0,0,0.789,"s1n3b2",4
"007410","0",0,0,0,1.097,"s1n3b2",5
"007410","0",0,0,0,0.83,"s1n3b2",6
"007410","0",1,1,0,0.691,"s1n3b2",7
"007410","1",1,1,0,0.918,"s1n3b2",8
"007410","1",1,1,0,1.113,"s1n3b2",9
"007410","0",0,0,0,1.021,"s1n3b2",10
"007410","0",0,0,0,1.249,"s1n3b2",11
"007410","0",0,0,0,0.772,"s1n3b2",12
"007410","1",0,0,0,0.84,"s1n3b2",13
"007410","0",0,0,0,0.62,"s1n3b2",14
"007410","0",0,0,0,0.863,"s1n3b2",15
"007410","1",0,0,0,0.931,"s1n3b2",16
"007410","0",0,0,0,0.886,"s1n3b2",17
"007410","0",0,0,0,1.017,"s1n3b2",18
"007410","1",0,0,0,0.973,"s1n3b2",19
