"StartDate","ID","CL","Evaluation","CL_evaluation","Mental","Temporal","Performance","Effort","Frustration","Eustress","Distress","NASA_TLX","Eustress_cw","Distress_cw","NASA_TLX_cw","Mental_cw","Temporal_cw","Performance_cw","Effort_cw","Frustration_cw"
"2023-12-18 09:27:43",792672,"low",0,"low_0",3,3,6,3,1,1.6,1.2,2.4,-1.481,-1.081,-2.047,-2.041,-1.517,1.674,-2.029,-2.971
"2023-12-18 09:34:07",792672,"high",0,"high_0",5,3,3,4,3,1.6,3,4,-1.481,0.719,-0.447,-0.041,-1.517,-1.326,-1.029,-0.971
"2023-12-18 09:43:17",792672,"low",1,"low_1",3,5,3,6,7,2.6,3.4,5.2,-0.481,1.119,0.753,-2.041,0.483,-1.326,0.971,3.029
"2023-12-18 09:49:13",792672,"high",1,"high_1",4,2,2,6,2,2.8,2,4,-0.281,-0.281,-0.447,-1.041,-2.517,-2.326,0.971,-1.971
"2023-12-18 10:59:36",121650,"high",0,"high_0",6,5,4,5,4,3.4,1.8,4.8,0.319,-0.481,0.353,0.959,0.483,-0.326,-0.029,0.029
"2023-12-18 11:06:42",121650,"low",0,"low_0",4,5,5,5,2,3.2,1.4,3.8,0.119,-0.881,-0.647,-1.041,0.483,0.674,-0.029,-1.971
"2023-12-18 11:16:58",121650,"high",1,"high_1",4,6,3,5,6,2.6,2.4,5.2,-0.481,0.119,0.753,-1.041,1.483,-1.326,-0.029,2.029
"2023-12-18 11:22:47",121650,"low",1,"low_1",6,5,3,4,5,2.6,2.4,5,-0.481,0.119,0.553,0.959,0.483,-1.326,-1.029,1.029
"2023-12-18 12:28:19",380897,"low",0,"low_0",4,3,6,3,2,4.2,2.2,2.8,1.119,-0.081,-1.647,-1.041,-1.517,1.674,-2.029,-1.971
"2023-12-18 12:34:52",380897,"high",0,"high_0",5,5,6,5,5,5,3.2,4.4,1.919,0.919,-0.047,-0.041,0.483,1.674,-0.029,1.029
"2023-12-18 12:44:11",380897,"low",1,"low_1",5,6,5,6,6,4.6,4.4,5.2,1.519,2.119,0.753,-0.041,1.483,0.674,0.971,2.029
"2023-12-18 12:50:14",380897,"high",1,"high_1",6,5,6,6,6,5,3.2,5,1.919,0.919,0.553,0.959,0.483,1.674,0.971,2.029
"2023-12-18 17:02:17",588210,"high",0,"high_0",7,2,6,5,5,3.6,1.8,4.2,0.519,-0.481,-0.247,1.959,-2.517,1.674,-0.029,1.029
"2023-12-18 17:08:38",588210,"low",0,"low_0",5,2,6,5,2,4.4,1.6,3.2,1.319,-0.681,-1.247,-0.041,-2.517,1.674,-0.029,-1.971
"2023-12-18 17:17:25",588210,"high",1,"high_1",7,5,3,4,5,3.4,1.8,5.2,0.319,-0.481,0.753,1.959,0.483,-1.326,-1.029,1.029
"2023-12-18 17:23:17",588210,"low",1,"low_1",4,2,6,5,2,4,1.2,3,0.919,-1.081,-1.447,-1.041,-2.517,1.674,-0.029,-1.971
"2023-12-20 09:30:07",977604,"low",0,"low_0",5,5,4,5,5,2.6,2.8,4.8,-0.481,0.519,0.353,-0.041,0.483,-0.326,-0.029,1.029
"2023-12-20 09:36:36",977604,"high",0,"high_0",5,6,1,6,5,2.2,3,5.8,-0.881,0.719,1.353,-0.041,1.483,-3.326,0.971,1.029
"2023-12-20 09:47:52",977604,"low",1,"low_1",6,5,4,4,6,2.8,4.2,5,-0.281,1.919,0.553,0.959,0.483,-0.326,-1.029,2.029
"2023-12-20 09:54:02",977604,"high",1,"high_1",7,6,1,7,7,2.2,4.2,6.8,-0.881,1.919,2.353,1.959,1.483,-3.326,1.971,3.029
"2023-12-20 12:30:19",93756,"high",0,"high_0",6,4,2,6,5,3,3.2,5.4,-0.081,0.919,0.953,0.959,-0.517,-2.326,0.971,1.029
"2023-12-20 12:36:32",93756,"low",0,"low_0",6,5,5,6,3,3.8,1.6,4.6,0.719,-0.681,0.153,0.959,0.483,0.674,0.971,-0.971
"2023-12-20 12:45:46",93756,"high",1,"high_1",6,6,2,6,6,2.4,4.2,6,-0.681,1.919,1.553,0.959,1.483,-2.326,0.971,2.029
"2023-12-20 12:51:24",93756,"low",1,"low_1",4,4,5,5,5,3.8,2,4.2,0.719,-0.281,-0.247,-1.041,-0.517,0.674,-0.029,1.029
"2023-12-20 15:31:22",69369,"low",0,"low_0",4,3,5,3,4,3.4,2.2,3.4,0.319,-0.081,-1.047,-1.041,-1.517,0.674,-2.029,0.029
"2023-12-20 15:38:12",69369,"high",0,"high_0",4,4,3,4,5,2.8,2.6,4.4,-0.281,0.319,-0.047,-1.041,-0.517,-1.326,-1.029,1.029
"2023-12-20 15:46:51",69369,"low",1,"low_1",4,4,5,4,5,3.6,2.2,4,0.519,-0.081,-0.447,-1.041,-0.517,0.674,-1.029,1.029
"2023-12-20 15:52:57",69369,"high",1,"high_1",5,3,2,5,5,2.2,3,4.8,-0.881,0.719,0.353,-0.041,-1.517,-2.326,-0.029,1.029
"2023-12-20 16:57:08",234510,"high",0,"high_0",6,5,6,7,3,4,1.4,4.6,0.919,-0.881,0.153,0.959,0.483,1.674,1.971,-0.971
