"ID","CL","Evaluation","Errors","Errors_cw","cER","cER_cw","oER","oER_cw","RT_Raw","RT_cw","Eustress","Eustress_cw","Distress","Distress_cw","NASA_TLX","NASA_TLX_cw","Mental","Mental_cw","Temporal","Temporal_cw","Effort","Effort_cw","Performance","Performance_cw","Frustration","Frustration_cw","ratio","EDA","EDA_zw"
7410,"high","0",11,4.06395348837209,10,3.471,1,0.593,0.82742962962963,0.160665020917928,3.2,0.119,1.6,-0.681,3.2,-1.247,4,-1.041,2,-2.517,4,-1.029,4,-0.326,2,-1.971,2,0.230608851216023,-1.07587005675987
7410,"high","1",17,10.0639534883721,17,10.471,0,-0.407,0.8648,0.198035391288298,3.4,0.319,1.2,-1.081,3,-1.447,3,-2.041,2,-2.517,4,-1.029,4,-0.326,2,-1.971,2.83333333333333,0.36083805,1.16751931856542
7410,"low","0",3,-3.93604651162791,3,-3.529,0,-0.407,0.739633333333333,0.0728687246216316,3,-0.081,1,-1.281,3,-1.447,3,-2.041,3,-1.517,3,-2.029,4,-0.326,2,-1.971,3,0.243551584285714,-0.852912454875357
7410,"low","1",5,-1.93604651162791,5,-1.529,0,-0.407,0.6804,0.0136353912882983,3.4,0.319,1.2,-1.081,2.8,-1.647,3,-2.041,2,-2.517,3,-2.029,4,-0.326,2,-1.971,2.83333333333333,0.333900507142857,0.703480546866246
17709,"high","0",11,4.06395348837209,11,4.471,0,-0.407,0.57325,-0.0935146087117017,3.4,0.319,2,-0.281,5,0.553,6,0.959,5,0.483,6,0.971,4,-0.326,4,0.029,1.7,0.207996067238913,-0.759112447408352
17709,"high","1",16,9.06395348837209,16,9.471,0,-0.407,0.5799,-0.0868646087117017,2.6,-0.481,3.2,0.919,5.8,1.353,7,1.959,6,1.483,7,1.971,4,-0.326,5,1.029,0.8125,0.481531692857143,1.29161404418961
17709,"low","0",6,-0.936046511627907,6,-0.529,0,-0.407,0.446683333333333,-0.220081275378368,4,0.919,1,-1.281,3.4,-1.047,5,-0.041,3,-1.517,4,-1.029,5,0.674,2,-1.971,4,0.173359312857143,-1.01878798193197
17709,"low","1",3,-3.93604651162791,3,-3.529,0,-0.407,0.454066666666667,-0.212697942045035,4,0.919,1.8,-0.481,4.4,-0.047,6,0.959,4,-0.517,5,-0.029,6,1.674,5,1.029,2.22222222222222,0.402178858571429,0.696697169704609
17824,"high","0",7,0.0639534883720927,7,0.471,0,-0.407,0.529016666666667,-0.137747942045035,3.2,0.119,2.2,-0.081,4.6,0.153,5,-0.041,5,0.483,5,-0.029,5,0.674,5,1.029,1.45454545454545,0.53629604,-0.900548197771974
17824,"high","1",10,3.06395348837209,10,3.471,0,-0.407,0.657233333333333,-0.0095312753783684,4,0.919,1.8,-0.481,4.6,0.153,5,-0.041,4,-0.517,6,0.971,4,-0.326,4,0.029,2.22222222222222,1.30122211857143,1.15942680030315
17824,"low","0",4,-2.93604651162791,4,-2.529,0,-0.407,0.623866666666667,-0.0428979420450351,3.8,0.719,2.6,0.319,5.2,0.753,4,-1.041,5,0.483,7,1.971,3,-1.326,5,1.029,1.46153846153846,0.532450030042918,-0.910905648741266
17824,"low","1",7,0.0639534883720927,6,-0.529,1,0.593,0.614466666666667,-0.0522979420450351,3.6,0.519,2.6,0.319,5.2,0.753,6,0.959,5,0.483,6,0.971,4,-0.326,5,1.029,1.38461538461538,1.16609695565093,0.795529601573951
40710,"high","0",9,2.06395348837209,9,2.471,0,-0.407,0.679716666666667,0.0129520579549649,3.4,0.319,2.4,0.119,4.8,0.353,5,-0.041,5,0.483,5,-0.029,4,-0.326,5,1.029,1.41666666666667,0.2234976981402,-0.532575266279904
40710,"high","1",1,-5.93604651162791,1,-5.529,0,-0.407,0.543166666666667,-0.123597942045035,4.4,1.319,2,-0.281,4,-0.447,5,-0.041,5,0.483,5,-0.029,6,1.674,3,-0.971,2.2,0.28341226,1.27805183996329
40710,"low","0",2,-4.93604651162791,2,-4.529,0,-0.407,0.650366666666667,-0.0163979420450351,3.8,0.719,2.6,0.319,3.6,-0.847,5,-0.041,5,0.483,2,-3.029,6,1.674,4,0.029,1.46153846153846,0.201800937142857,-1.18825465973681
40710,"low","1",3,-3.93604651162791,3,-3.529,0,-0.407,0.546816666666667,-0.119947942045035,3.8,0.719,2.2,-0.081,3.4,-1.047,3,-2.041,5,0.483,3,-2.029,6,1.674,4,0.029,1.72727272727273,0.264213722857143,0.697869148609963
47751,"high","0",16,9.06395348837209,11,4.471,5,4.593,0.538882142857143,-0.127882465854559,3.4,0.319,1.2,-1.081,4.8,0.353,6,0.959,6,1.483,6,0.971,3,-1.326,1,-2.971,2.83333333333333,0.200992194563662,-0.476801246950009
47751,"high","1",20,13.0639534883721,10,3.471,10,9.593,0.605575,-0.0611896087117017,3.2,0.119,1.2,-1.081,5,0.553,6,0.959,6,1.483,6,0.971,4,-0.326,3,-0.971,2.66666666666667,0.156647359084406,-0.840635347744949
47751,"low","0",9,2.06395348837209,7,0.471,2,1.593,0.511357407407407,-0.155407201304294,3.4,0.319,1,-1.281,4,-0.447,5,-0.041,5,0.483,5,-0.029,4,-0.326,1,-2.971,3.4,0.202613636623748,-0.463497873342988
47751,"low","1",17,10.0639534883721,9,2.471,8,7.593,0.528025,-0.138739608711702,3.4,0.319,1.8,-0.481,5.6,1.153,6,0.959,6,1.483,6,0.971,3,-1.326,5,1.029,1.88888888888889,0.411066017142857,1.24678210864528
69369,"high","0",5,-1.93604651162791,5,-1.529,0,-0.407,0.846133333333333,0.179368724621632,2.8,-0.281,2.6,0.319,4.4,-0.047,4,-1.041,4,-0.517,4,-1.029,3,-1.326,5,1.029,1.07692307692308,1.41183608011445,-1.36233325868043
69369,"high","1",14,7.06395348837209,14,7.471,0,-0.407,0.828366666666667,0.161602057954965,2.2,-0.881,3,0.719,4.8,0.353,5,-0.041,3,-1.517,5,-0.029,2,-2.326,5,1.029,0.733333333333333,2.23010759285714,0.730463495614792
69369,"low","0",3,-3.93604651162791,3,-3.529,0,-0.407,0.889883333333333,0.223118724621632,3.4,0.319,2.2,-0.081,3.4,-1.047,4,-1.041,3,-1.517,3,-2.029,5,0.674,4,0.029,1.54545454545455,1.92253981714286,-0.0561664098834108
