"ID","CL","Evaluation","block","trial_block","Errors","RT_Raw","cER","oER","Errors_cw","cER_cw","oER_cw","RT_cw","CL_evaluation","Mental","Temporal","Performance","Effort","Frustration","Eustress","Distress","NASA_TLX","Eustress_cw","Distress_cw","NASA_TLX_cw","Mental_cw","Temporal_cw","Performance_cw","Effort_cw","Frustration_cw","ratio"
7410,"high","0","1",0,4,0.7072,4,0,2.84399224806202,2.91182170542636,-0.0678294573643411,0.0404353912882983,"high_0",4,2,4,4,2,3.2,1.6,3.2,0.119,-0.681,-1.247,-1.041,-2.517,-0.326,-1.029,-1.971,2
17709,"high","0","1",0,2,0.5974,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,-0.0693646087117017,"high_0",6,5,4,6,4,3.4,2,5,0.319,-0.281,0.553,0.959,0.483,-0.326,0.971,0.029,1.7
17824,"high","0","1",0,2,0.5629,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,-0.103864608711702,"high_0",5,5,5,5,5,3.2,2.2,4.6,0.119,-0.081,0.153,-0.041,0.483,0.674,-0.029,1.029,1.45454545454545
40122,"high","0","1",0,2,0.8227,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.155935391288298,"high_0",5,3,2,5,5,2.4,2,4.8,-0.681,-0.281,0.353,-0.041,-1.517,-2.326,-0.029,1.029,1.2
40710,"high","0","1",0,0,0.6312,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.0355646087117018,"high_0",5,5,4,5,5,3.4,2.4,4.8,0.319,0.119,0.353,-0.041,0.483,-0.326,-0.029,1.029,1.41666666666667
47751,"high","0","1",0,5,0.52725,3,2,3.84399224806202,1.91182170542636,1.93217054263566,-0.139514608711702,"high_0",6,6,3,6,1,3.4,1.2,4.8,0.319,-1.081,0.353,0.959,1.483,-1.326,0.971,-2.971,2.83333333333333
82208,"high","0","1",0,1,0.8201,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,0.153335391288298,"high_0",6,5,2,4,6,2,2.2,5.4,-1.081,-0.081,0.953,0.959,0.483,-2.326,-1.029,2.029,0.909090909090909
94065,"high","0","1",0,0,0.8419,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.175135391288298,"high_0",5,3,5,5,3,2.4,2.6,3.8,-0.681,0.319,-0.647,-0.041,-1.517,0.674,-0.029,-0.971,0.923076923076923
95172,"high","0","1",0,2,0.716,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.0492353912882982,"high_0",4,5,4,6,5,3,2.4,4.8,-0.081,0.119,0.353,-1.041,0.483,-0.326,0.971,1.029,1.25
121650,"high","0","1",0,1,0.7178,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,0.0510353912882983,"high_0",6,5,4,5,4,3.4,1.8,4.8,0.319,-0.481,0.353,0.959,0.483,-0.326,-0.029,0.029,1.88888888888889
